"","LakeID","n","meanSta1","meanSta2","meanDiff","pooled.sd","w.pvalue","d","zstat","w.samples","w.sample2"
"1","ABENAKI",9,9.796296261,9.77666667688889,1.27148140855556,2.28889802951494,1,0.436891459167327,0,0,"no"
"2","ADAMS (WOODFD)",8,11.258333344875,10.575416683875,1.191249906,2.00473717998393,0.3491,0.498818503484839,-0.93633642420123,4,"no"
"3","AMHERST",8,10.51416665375,10.11416665725,0.810833316,6.17180748693155,0.675,0.162027088841874,-0.419295753041396,7,"no"
"4","AUSTIN",7,10.4500000815714,11.5076190851429,1.98047628785714,2.13277941467907,0.3096,0.468871742252106,-1.01606171257798,5,"no"
"5","BAKER (BARTON)",7,22.0809523271429,22.6142858771429,1.80952381,4.08333512950458,0.4461,0.244897851458331,-0.7619329885656,10,"yes"
"6","BAKER (BRKFLD)",6,12.2722220948333,12.010555479,0.928333282833333,4.35218623344574,0.675,0.229769579324337,-0.419295753041396,4,"no"
"7","BALD HILL",21,9.53595232661905,8.21702381323809,1.33321428185714,2.11325393321445,2e-04,0.473203898633662,-3.71901648545568,62,"yes"
"8","BEAN (LYNDON)",8,7.93812495475,6.990000009625,1.264374911625,2.19630533696928,0.1755,0.455310098813455,-1.35474128285211,9,"yes"
"9","BEAN (SUTTON)",7,7.00285720828571,6.740952401,0.587618918428571,1.76049947441305,0.5879,0.568020618315377,-0.54188170610922,1,"no"
"10","BEEBE (HUBDTN)",17,16.1205882376471,15.5098039970588,2.50098034882353,4.34427787832634,0.4375,0.230187853541555,-0.776421761147928,12,"no"
"11","BERLIN",8,8.402499944,7.961666623625,1.333333323375,1.77313859952996,0.3938,0.563971705463459,-0.852746316417407,3,"no"
"12","BIG",9,10.2764813816667,10.3842591176667,0.610740768444444,2.89932707812823,0.6706,0.344907619269223,-0.425324686356736,2,"no"
"13","BLACK (HUBDTN)",10,14.1661333331,13.2876666713,2.6031333918,4.08379497841663,0.4752,0.244870275144841,-0.714043955000183,9,"no"
"14","BLACK (PLYMTH)",6,9.20666670783333,9.94000021583333,1.96666677766667,3.18134733701458,1,0.31433222910467,0,0,"no"
"15","BLISS",10,22.78333346,18.6555556533333,5.01666669555556,5.46484390386537,0.0244,0.182987843311075,-2.25077171326128,152,"yes"
"16","BLUEBERRY",9,15.8888886077778,15.5518518722222,1.78148153111111,3.18661687797908,0.5281,0.31381243440667,-0.630909041015812,5,"no"
"17","BOMOSEEN",16,13.6694791613125,13.6662500055,1.2151042071875,3.84828207746777,0.9499,0.259856211127334,-0.0628323565044377,1,"no"
"18","BRANCH",5,11.255666574,11.0773333882,1.5196665778,1.08634521742806,1,0.920517699122859,0,0,"no"
"19","BROWNINGTON",10,17.409999975,14.896666686,2.513333289,2.7052342502071,0.0143,0.369653755464409,-2.44963775033013,44,"yes"
"20","BUCK",9,8.60175934611111,8.31925929044444,1.02638891077778,1.95170538393229,0.3525,0.512372414521501,-0.929751042345445,4,"no"
"21","BURR (SUDBRY)",15,10.9761904762143,9.21190477578571,1.95476189085714,3.29944568353199,0.0101,0.303081213002276,-2.57238672929347,73,"yes"
"22","CARMI",25,27.0443969975,27.0968749391667,3.02113315916667,3.98816530264957,0.4358,0.250741863516951,-0.779305118914459,10,"no"
"23","CASPIAN",15,6.85877777733333,7.1064444382,0.989666700466666,1.65362474846922,0.7887,0.604732120105066,-0.267999114938662,1,"no"
"24","CEDAR",16,15.960416635,14.795833309375,1.460416674375,3.36417571284795,0.025,0.297249634191506,-2.24140272760494,57,"yes"
"25","CENTER",11,6.91166666790909,6.78530300027273,0.436060616545455,1.6631039440084,0.4833,0.601285327716684,-0.701004831529543,2,"no"
"26","CHANDLER",8,8.763749957125,8.69416666025,0.869583487375,2.04632236202505,0.8328,0.488681557978185,-0.211111841863738,1,"no"
"27","CHARLESTON",6,10.6520832781667,10.5027777611667,0.471527803,1.65062401283517,0.4164,0.605831486894683,-0.812682704369636,2,"no"
"28","CHIPMAN",6,10.4577776065,8.94777785316667,1.601111041,4.03681579612767,0.2807,0.247719997766372,-1.07874818275837,19,"yes"
"29","CHITTENDEN",14,18.45119054,17.396428575,2.559523845,8.67001888563852,0.8445,0.11534000250639,-0.19614075227626,3,"no"
