LakeID,Year,Sta1_SprTP,Sta2_SprTP,N
ABENAKI,1988,9,11,9
ABENAKI,1989,11,14,9
ABENAKI,1990,5,5,9
ABENAKI,1991,11,10,9
ABENAKI,1992,10,10,9
ABENAKI,1998,8.699999809,8.300000191,9
ABENAKI,2000,10.30000019,10.30000019,9
ABENAKI,2006,11.26666673,11.89999994,9
ABENAKI,2011,11.89999962,7.489999771,9
ADAMS (WOODFD),1980,12,12,8
ADAMS (WOODFD),1990,9,8,8
ADAMS (WOODFD),1992,12,11,8
ADAMS (WOODFD),1994,9,8,8
ADAMS (WOODFD),2000,9.699999809,9.300000191,8
ADAMS (WOODFD),2007,14.36666679,10.27000014,8
ADAMS (WOODFD),2009,10.79999987,12.03333314,8
ADAMS (WOODFD),2011,13.20000029,14,8
AMHERST,1980,10,7,8
AMHERST,1983,9,10,8
AMHERST,1985,8,8,8
AMHERST,1994,6,5.699999809,8
AMHERST,1999,6.300000191,6.300000191,8
AMHERST,2005,8.176666419,8.720000267,8
AMHERST,2007,11.08666643,9.543333371,8
AMHERST,2012,25.55000019,25.64999962,8
AUSTIN,1991,9,10,7
AUSTIN,1992,9,11,7
AUSTIN,1993,9,14.30000019,7
AUSTIN,1998,10.30000019,9,7
AUSTIN,2004,12,14.33333333,7
AUSTIN,2010,9.850000381,8.920000076,7
AUSTIN,2019,14,13,7
BAKER (BARTON),1992,22,24,7
BAKER (BARTON),1993,20,22,7
BAKER (BARTON),1994,17,17.70000076,7
BAKER (BARTON),1997,25,27.5,7
BAKER (BARTON),2002,18.66666667,15,7
BAKER (BARTON),2004,26.33333333,27.33333333,7
BAKER (BARTON),2007,25.56666629,24.76666705,7
BAKER (BRKFLD),1999,11,10,6
BAKER (BRKFLD),2000,6.699999809,7,6
BAKER (BRKFLD),2006,13.5666666,14.16666635,6
BAKER (BRKFLD),2007,11.96666654,13.0666666,6
BAKER (BRKFLD),2010,10.10000038,8.329999924,6
BAKER (BRKFLD),2015,20.29999924,19.5,6
BALD HILL,1982,6,6,21
BALD HILL,1984,8,7,21
BALD HILL,1988,6,5,21
BALD HILL,1989,6,6,21
BALD HILL,1997,6.699999809,5,21
BALD HILL,2004,8,7.333333333,21
BALD HILL,2005,9.329999606,9.076666832,21
BALD HILL,2006,9.956666311,10.10666688,21
BALD HILL,2007,7.769999981,7.626666705,21
BALD HILL,2009,10.66666667,9.366666794,21
BALD HILL,2010,10.25,9.414999962,21
BALD HILL,2011,14.05000019,8.96999979,21
BALD HILL,2012,11.44000006,10.8499999,21
BALD HILL,2013,8.529999892,7.187499881,21
BALD HILL,2014,12.78499985,9.235000134,21
BALD HILL,2015,12.5333333,10.89999962,21
BALD HILL,2016,10.15999985,8.444999695,21
BALD HILL,2017,10,9.350000381,21
BALD HILL,2018,10.4000001,8.59499979,21
BALD HILL,2019,10,8.5,21
BALD HILL,2020,11.68333324,8.600000381,21
BEAN (LYNDON),1990,6,5,8
BEAN (LYNDON),1991,5,6,8
BEAN (LYNDON),1992,13,8,8
BEAN (LYNDON),1994,6.300000191,6.300000191,8
BEAN (LYNDON),1999,9,8.300000191,8
BEAN (LYNDON),2000,5.699999809,5.300000191,8
BEAN (LYNDON),2010,9.079999924,7.329999924,8
BEAN (LYNDON),2011,9.424999714,9.68999958,8
BEAN (SUTTON),1990,5,5,7
BEAN (SUTTON),1991,6,5,7
BEAN (SUTTON),1992,9,9,7
BEAN (SUTTON),1994,6,5.300000191,7
BEAN (SUTTON),1999,6,5.300000191,7
BEAN (SUTTON),2005,9,8.426666578,7
BEAN (SUTTON),2013,8.020000458,9.159999847,7
BEEBE (HUBDTN),1980,14,17,17
BEEBE (HUBDTN),1981,13,14,17
BEEBE (HUBDTN),1982,18,24,17
BEEBE (HUBDTN),1983,12,12,17
BEEBE (HUBDTN),1984,9,11,17
BEEBE (HUBDTN),1985,11,12,17
BEEBE (HUBDTN),1986,26,24,17
BEEBE (HUBDTN),1987,18,13,17
BEEBE (HUBDTN),1994,18.70000076,13.30000019,17
BEEBE (HUBDTN),1998,13.30000019,11,17
BEEBE (HUBDTN),2003,20.66666667,23.66666667,17
BEEBE (HUBDTN),2004,22,19,17
BEEBE (HUBDTN),2005,15.76666673,15.46666718,17
BEEBE (HUBDTN),2006,14.59999975,14.66666667,17
BEEBE (HUBDTN),2007,16.16666603,10.96666686,17
BEEBE (HUBDTN),2012,14.89999962,12.85000038,17
